qid,form_id,form_type,lang,type,question,answer
F0000-x-applicant_name-en,F0000,scholarship,en,extraction,Applicant Name?,Fatima Begum
F0000-x-applicant_name-hi,F0000,scholarship,hi,extraction,आवेदक का नाम?,फ़ातिमा बेगम
F0000-x-applicant_name-bn,F0000,scholarship,bn,extraction,আবেদনকারীর নাম?,ফাতিমা বেগম
F0000-x-applicant_name-te,F0000,scholarship,te,extraction,దరఖాస్తుదారు పేరు?,ఫాతిమా బేగం
F0000-x-applicant_name-ta,F0000,scholarship,ta,extraction,விண்ணப்பதாரர் பெயர்?,பாத்திமா பேகம்
F0000-x-applicant_name-mr,F0000,scholarship,mr,extraction,अर्जदाराचे नाव?,फातिमा बेगम
F0000-x-applicant_name-kn,F0000,scholarship,kn,extraction,ಅರ್ಜಿದಾರರ ಹೆಸರು?,ಫಾತಿಮಾ ಬೇಗಂ
F0000-x-district-en,F0000,scholarship,en,extraction,District?,Guntur
F0000-x-district-hi,F0000,scholarship,hi,extraction,जिला?,गुंटूर
F0000-x-district-bn,F0000,scholarship,bn,extraction,জেলা?,গুন্টুর
F0000-x-district-te,F0000,scholarship,te,extraction,జిల్లా?,గుంటూరు
F0000-x-district-ta,F0000,scholarship,ta,extraction,மாவட்டம்?,குண்டூர்
F0000-x-district-mr,F0000,scholarship,mr,extraction,जिल्हा?,गुंटूर
F0000-x-district-kn,F0000,scholarship,kn,extraction,ಜಿಲ್ಲೆ?,ಗುಂಟೂರು
F0000-x-annual_income-en,F0000,scholarship,en,extraction,Annual Income (Rs.)?,118000
F0000-x-annual_income-hi,F0000,scholarship,hi,extraction,वार्षिक आय (रु.)?,118000
F0000-x-annual_income-bn,F0000,scholarship,bn,extraction,বার্ষিক আয় (টাকা)?,118000
F0000-x-annual_income-te,F0000,scholarship,te,extraction,వార్షిక ఆదాయం (రూ.)?,118000
F0000-x-annual_income-ta,F0000,scholarship,ta,extraction,ஆண்டு வருமானம் (ரூ.)?,118000
F0000-x-annual_income-mr,F0000,scholarship,mr,extraction,वार्षिक उत्पन्न (रु.)?,118000
F0000-x-annual_income-kn,F0000,scholarship,kn,extraction,ವಾರ್ಷಿಕ ಆದಾಯ (ರೂ.)?,118000
F0000-x-family_members-en,F0000,scholarship,en,extraction,Number of Family Members?,5
F0000-x-family_members-hi,F0000,scholarship,hi,extraction,परिवार के सदस्यों की संख्या?,5
F0000-x-family_members-bn,F0000,scholarship,bn,extraction,পরিবারের সদস্য সংখ্যা?,5
F0000-x-family_members-te,F0000,scholarship,te,extraction,కుటుంబ సభ్యుల సంఖ్య?,5
F0000-x-family_members-ta,F0000,scholarship,ta,extraction,குடும்ப உறுப்பினர்கள் எண்ணிக்கை?,5
F0000-x-family_members-mr,F0000,scholarship,mr,extraction,कुटुंब सदस्यांची संख्या?,5
F0000-x-family_members-kn,F0000,scholarship,kn,extraction,ಕುಟುಂಬ ಸದಸ್ಯರ ಸಂಖ್ಯೆ?,5
F0000-x-category-en,F0000,scholarship,en,extraction,Category?,OBC
F0000-x-category-hi,F0000,scholarship,hi,extraction,श्रेणी?,OBC
F0000-x-category-bn,F0000,scholarship,bn,extraction,শ্রেণী?,OBC
F0000-x-category-te,F0000,scholarship,te,extraction,వర్గం?,OBC
F0000-x-category-ta,F0000,scholarship,ta,extraction,பிரிவு?,OBC
F0000-x-category-mr,F0000,scholarship,mr,extraction,प्रवर्ग?,OBC
F0000-x-category-kn,F0000,scholarship,kn,extraction,ವರ್ಗ?,OBC
F0000-r-elig-en,F0000,scholarship,en,reasoning,"Based on the income cap and household size rule, is this applicant eligible? Answer yes or no.",yes
F0000-r-elig-hi,F0000,scholarship,hi,reasoning,"आय सीमा और परिवार के आकार के नियम के आधार पर, क्या यह आवेदक पात्र है? हाँ या नहीं में उत्तर दें।",yes
F0000-r-elig-bn,F0000,scholarship,bn,reasoning,"আয়ের সীমা এবং পরিবারের আকারের নিয়ম অনুসারে, এই আবেদনকারী কি যোগ্য? হ্যাঁ বা না উত্তর দিন।",yes
